"year","month","county","party","registered"
"2025","2","Prince George's","Republican","11765"
"2025","2","Queen Anne's","Unaffiliated","7750"
"2025","2","Queen Anne's","Democratic","15030"
"2025","2","Queen Anne's","Other","3320"
"2025","2","Queen Anne's","Republican","11880"
"2025","2","St. Mary's","Unaffiliated","7865"
"2025","2","St. Mary's","Democratic","15145"
"2025","2","St. Mary's","Other","3435"
"2025","2","St. Mary's","Republican","11995"
"2025","2","Somerset","Unaffiliated","7980"
"2025","2","Somerset","Democratic","15260"
"2025","2","Somerset","Other","3550"
"2025","2","Somerset","Republican","12110"
"2025","2","Talbot","Unaffiliated","8095"
"2025","2","Talbot","Democratic","15375"
"2025","2","Talbot","Other","3665"
"2025","2","Talbot","Republican","12225"
"2025","2","Washington","Unaffiliated","8210"
"2025","2","Washington","Democratic","15490"
"2025","2","Washington","Other","3780"
"2025","2","Washington","Republican","12340"
"2025","2","Wicomico","Unaffiliated","8325"
"2025","2","Wicomico","Democratic","15605"
"2025","2","Wicomico","Other","3895"
"2025","2","Wicomico","Republican","12455"
"2025","2","Worcester","Unaffiliated","8440"
"2025","2","Worcester","Democratic","15720"
"2025","2","Worcester","Other","4010"
"2025","2","Worcester","Republican","12570"
"2025","3","Allegany","Unaffiliated","5975"
"2025","3","Allegany","Democratic","13255"
"2025","3","Allegany","Other","1545"
"2025","3","Allegany","Republican","10105"
"2025","3","Anne Arundel","Unaffiliated","6090"
"2025","3","Anne Arundel","Democratic","13370"
"2025","3","Anne Arundel","Other","1660"
"2025","3","Anne Arundel","Republican","10220"
"2025","3","Baltimore City","Unaffiliated","6205"
"2025","3","Baltimore City","Democratic","13485"
"2025","3","Baltimore City","Other","1775"
"2025","3","Baltimore City","Republican","10335"
"2025","3","Baltimore","Unaffiliated","6320"
"2025","3","Baltimore","Democratic","13600"
"2025","3","Baltimore","Other","1890"
"2025","3","Baltimore","Republican","10450"
"2025","3","Calvert","Unaffiliated","6435"
"2025","3","Calvert","Democratic","13715"
"2025","3","Calvert","Other","2005"
"2025","3","Calvert","Republican","10565"
"2025","3","Caroline","Unaffiliated","6550"
"2025","3","Caroline","Democratic","13830"
"2025","3","Caroline","Other","2120"
"2025","3","Caroline","Republican","10680"
"2025","3","Carroll","Unaffiliated","6665"
"2025","3","Carroll","Democratic","13945"
"2025","3","Carroll","Other","2235"
"2025","3","Carroll","Republican","10795"
"2025","3","Cecil","Unaffiliated","6780"
"2025","3","Cecil","Democratic","14060"
"2025","3","Cecil","Other","2350"
"2025","3","Cecil","Republican","10910"
"2025","3","Charles","Unaffiliated","6895"
"2025","3","Charles","Democratic","14175"
"2025","3","Charles","Other","2465"
"2025","3","Charles","Republican","11025"
"2025","3","Dorchester","Unaffiliated","7010"
"2025","3","Dorchester","Democratic","14290"
"2025","3","Dorchester","Other","2580"
"2025","3","Dorchester","Republican","11140"
"2025","3","Frederick","Unaffiliated","7125"
"2025","3","Frederick","Democratic","14405"
"2025","3","Frederick","Other","2695"
"2025","3","Frederick","Republican","11255"
"2025","3","Garrett","Unaffiliated","7240"
"2025","3","Garrett","Democratic","14520"
"2025","3","Garrett","Other","2810"
"2025","3","Garrett","Republican","11370"
"2025","3","Harford","Unaffiliated","7355"
"2025","3","Harford","Democratic","14635"
"2025","3","Harford","Other","2925"
"2025","3","Harford","Republican","11485"
"2025","3","Howard","Unaffiliated","7470"
"2025","3","Howard","Democratic","14750"
"2025","3","Howard","Other","3040"
"2025","3","Howard","Republican","11600"
"2025","3","Kent","Unaffiliated","7585"
"2025","3","Kent","Democratic","14865"
"2025","3","Kent","Other","3155"
"2025","3","Kent","Republican","11715"
"2025","3","Montgomery","Unaffiliated","7700"
"2025","3","Montgomery","Democratic","14980"
"2025","3","Montgomery","Other","3270"
"2025","3","Montgomery","Republican","11830"
"2025","3","Prince George's","Unaffiliated","7815"
"2025","3","Prince George's","Democratic","15095"
"2025","3","Prince George's","Other","3385"
"2025","3","Prince George's","Republican","11945"
"2025","3","Queen Anne's","Unaffiliated","7930"
"2025","3","Queen Anne's","Democratic","15210"
"2025","3","Queen Anne's","Other","3500"
"2025","3","Queen Anne's","Republican","12060"
"2025","3","St. Mary's","Unaffiliated","8045"
"2025","3","St. Mary's","Democratic","15325"
"2025","3","St. Mary's","Other","3615"
"2025","3","St. Mary's","Republican","12175"
"2025","3","Somerset","Unaffiliated","8160"
"2025","3","Somerset","Democratic","15440"
"2025","3","Somerset","Other","3730"
"2025","3","Somerset","Republican","12290"
"2025","3","Talbot","Unaffiliated","8275"
"2025","3","Talbot","Democratic","15555"
"2025","3","Talbot","Other","3845"
"2025","3","Talbot","Republican","12405"
"2025","3","Washington","Unaffiliated","8390"
"2025","3","Washington","Democratic","15670"
"2025","3","Washington","Other","3960"
"2025","3","Washington","Republican","12520"
"2025","3","Wicomico","Unaffiliated","8505"
"2025","3","Wicomico","Democratic","15785"
"2025","3","Wicomico","Other","4075"
"2025","3","Wicomico","Republican","12635"
"2025","3","Worcester","Unaffiliated","8620"
"2025","3","Worcester","Democratic","15900"
"2025","3","Worcester","Other","4190"
"2025","3","Worcester","Republican","12750"
"2025","4","Allegany","Unaffiliated","6155"
"2025","4","Allegany","Democratic","13435"
"2025","4","Allegany","Other","1725"
"2025","4","Allegany","Republican","10285"
"2025","4","Anne Arundel","Unaffiliated","6270"
"2025","4","Anne Arundel","Democratic","13550"
"2025","4","Anne Arundel","Other","1840"
"2025","4","Anne Arundel","Republican","10400"
"2025","4","Baltimore City","Unaffiliated","6385"
"2025","4","Baltimore City","Democratic","13665"
"2025","4","Baltimore City","Other","1955"
"2025","4","Baltimore City","Republican","10515"
"2025","4","Baltimore","Unaffiliated","6500"
"2025","4","Baltimore","Democratic","13780"
"2025","4","Baltimore","Other","2070"
"2025","4","Baltimore","Republican","10630"
"2025","4","Calvert","Unaffiliated","6615"
"2025","4","Calvert","Democratic","13895"
"2025","4","Calvert","Other","2185"
"2025","4","Calvert","Republican","10745"
"2025","4","Caroline","Unaffiliated","6730"
"2025","4","Caroline","Democratic","14010"
"2025","4","Caroline","Other","2300"
"2025","4","Caroline","Republican","10860"
"2025","4","Carroll","Unaffiliated","6845"
"2025","4","Carroll","Democratic","14125"
"2025","4","Carroll","Other","2415"
"2025","4","Carroll","Republican","10975"
"2025","4","Cecil","Unaffiliated","6960"
"2025","4","Cecil","Democratic","14240"
"2025","4","Cecil","Other","2530"
"2025","4","Cecil","Republican","11090"
"2025","4","Charles","Unaffiliated","7075"
"2025","4","Charles","Democratic","14355"
"2025","4","Charles","Other","2645"
"2025","4","Charles","Republican","11205"
"2025","4","Dorchester","Unaffiliated","7190"
"2025","4","Dorchester","Democratic","14470"
"2025","4","Dorchester","Other","2760"
"2025","4","Dorchester","Republican","11320"
"2025","4","Frederick","Unaffiliated","7305"
"2025","4","Frederick","Democratic","14585"
"2025","4","Frederick","Other","2875"
"2025","4","Frederick","Republican","11435"
"2025","4","Garrett","Unaffiliated","7420"
"2025","4","Garrett","Democratic","14700"
"2025","4","Garrett","Other","2990"
"2025","4","Garrett","Republican","11550"
"2025","4","Harford","Unaffiliated","7535"
"2025","4","Harford","Democratic","14815"
"2025","4","Harford","Other","3105"
"2025","4","Harford","Republican","11665"
"2025","4","Howard","Unaffiliated","7650"
"2025","4","Howard","Democratic","14930"
"2025","4","Howard","Other","3220"
"2025","4","Howard","Republican","11780"
"2025","4","Kent","Unaffiliated","7765"
"2025","4","Kent","Democratic","15045"
"2025","4","Kent","Other","3335"
"2025","4","Kent","Republican","11895"
"2025","4","Montgomery","Unaffiliated","7880"
"2025","4","Montgomery","Democratic","15160"
"2025","4","Montgomery","Other","3450"
"2025","4","Montgomery","Republican","12010"
"2025","4","Prince George's","Unaffiliated","7995"
"2025","4","Prince George's","Democratic","15275"
"2025","4","Prince George's","Other","3565"
"2025","4","Prince George's","Republican","12125"
"2025","4","Queen Anne's","Unaffiliated","8110"
"2025","4","Queen Anne's","Democratic","15390"
"2025","4","Queen Anne's","Other","3680"
"2025","4","Queen Anne's","Republican","12240"
"2025","4","St. Mary's","Unaffiliated","8225"
"2025","4","St. Mary's","Democratic","15505"
"2025","4","St. Mary's","Other","3795"
"2025","4","St. Mary's","Republican","12355"
"2025","4","Somerset","Unaffiliated","8340"
"2025","4","Somerset","Democratic","15620"
"2025","4","Somerset","Other","3910"
"2025","4","Somerset","Republican","12470"
"2025","4","Talbot","Unaffiliated","8455"
"2025","4","Talbot","Democratic","15735"
"2025","4","Talbot","Other","4025"
"2025","4","Talbot","Republican","12585"
"2025","4","Washington","Unaffiliated","8570"
"2025","4","Washington","Democratic","15850"
"2025","4","Washington","Other","4140"
"2025","4","Washington","Republican","12700"
"2025","4","Wicomico","Unaffiliated","8685"
"2025","4","Wicomico","Democratic","15965"
"2025","4","Wicomico","Other","4255"
"2025","4","Wicomico","Republican","12815"
"2025","4","Worcester","Unaffiliated","8800"
"2025","4","Worcester","Democratic","16080"
"2025","4","Worcester","Other","4370"
"2025","4","Worcester","Republican","12930"
"2025","5","Allegany","Unaffiliated","6335"
"2025","5","Allegany","Democratic","13615"
"2025","5","Allegany","Other","1905"
"2025","5","Allegany","Republican","10465"
"2025","5","Anne Arundel","Unaffiliated","6450"
"2025","5","Anne Arundel","Democratic","13730"
"2025","5","Anne Arundel","Other","2020"
"2025","5","Anne Arundel","Republican","10580"
"2025","5","Baltimore City","Unaffiliated","6565"
"2025","5","Baltimore City","Democratic","13845"
"2025","5","Baltimore City","Other","2135"
"2025","5","Baltimore City","Republican","10695"
"2025","5","Baltimore","Unaffiliated","6680"
"2025","5","Baltimore","Democratic","13960"
"2025","5","Baltimore","Other","2250"
"2025","5","Baltimore","Republican","10810"
"2025","5","Calvert","Unaffiliated","6795"
"2025","5","Calvert","Democratic","14075"
"2025","5","Calvert","Other","2365"
"2025","5","Calvert","Republican","10925"
"2025","5","Caroline","Unaffiliated","6910"
"2025","5","Caroline","Democratic","14190"
"2025","5","Caroline","Other","2480"
"2025","5","Caroline","Republican","11040"
"2025","5","Carroll","Unaffiliated","7025"
"2025","5","Carroll","Democratic","14305"
"2025","5","Carroll","Other","2595"
"2025","5","Carroll","Republican","11155"
"2025","5","Cecil","Unaffiliated","7140"
"2025","5","Cecil","Democratic","14420"
"2025","5","Cecil","Other","2710"
"2025","5","Cecil","Republican","11270"
"2025","5","Charles","Unaffiliated","7255"
"2025","5","Charles","Democratic","14535"
"2025","5","Charles","Other","2825"
"2025","5","Charles","Republican","11385"
"2025","5","Dorchester","Unaffiliated","7370"
"2025","5","Dorchester","Democratic","14650"
"2025","5","Dorchester","Other","2940"
"2025","5","Dorchester","Republican","11500"
"2025","5","Frederick","Unaffiliated","7485"
"2025","5","Frederick","Democratic","14765"
"2025","5","Frederick","Other","3055"
"2025","5","Frederick","Republican","11615"
"2025","5","Garrett","Unaffiliated","7600"
"2025","5","Garrett","Democratic","14880"
"2025","5","Garrett","Other","3170"
"2025","5","Garrett","Republican","11730"
"2025","5","Harford","Unaffiliated","7715"
"2025","5","Harford","Democratic","14995"
"2025","5","Harford","Other","3285"
"2025","5","Harford","Republican","11845"
"2025","5","Howard","Unaffiliated","7830"
"2025","5","Howard","Democratic","15110"
"2025","5","Howard","Other","3400"
"2025","5","Howard","Republican","11960"
"2025","5","Kent","Unaffiliated","7945"
"2025","5","Kent","Democratic","15225"
"2025","5","Kent","Other","3515"
"2025","5","Kent","Republican","12075"
"2025","5","Montgomery","Unaffiliated","8060"
"2025","5","Montgomery","Democratic","15340"
"2025","5","Montgomery","Other","3630"
"2025","5","Montgomery","Republican","12190"
"2025","5","Prince George's","Unaffiliated","8175"
"2025","5","Prince George's","Democratic","15455"
"2025","5","Prince George's","Other","3745"
"2025","5","Prince George's","Republican","12305"
"2025","5","Queen Anne's","Unaffiliated","8290"
"2025","5","Queen Anne's","Democratic","15570"
"2025","5","Queen Anne's","Other","3860"
"2025","5","Queen Anne's","Republican","12420"
"2025","5","St. Mary's","Unaffiliated","8405"
"2025","5","St. Mary's","Democratic","15685"
"2025","5","St. Mary's","Other","3975"
"2025","5","St. Mary's","Republican","12535"
"2025","5","Somerset","Unaffiliated","8520"
"2025","5","Somerset","Democratic","15800"
"2025","5","Somerset","Other","4090"
"2025","5","Somerset","Republican","12650"
"2025","5","Talbot","Unaffiliated","8635"
"2025","5","Talbot","Democratic","15915"
"2025","5","Talbot","Other","4205"
"2025","5","Talbot","Republican","12765"
"2025","5","Washington","Unaffiliated","8750"
"2025","5","Washington","Democratic","16030"
"2025","5","Washington","Other","4320"
"2025","5","Washington","Republican","12880"
"2025","5","Wicomico","Unaffiliated","8865"
"2025","5","Wicomico","Democratic","16145"
"2025","5","Wicomico","Other","4435"
"2025","5","Wicomico","Republican","12995"
"2025","5","Worcester","Unaffiliated","8980"
"2025","5","Worcester","Democratic","16260"
"2025","5","Worcester","Other","4550"
"2025","5","Worcester","Republican","13110"
"2025","6","Allegany","Unaffiliated","6515"
"2025","6","Allegany","Democratic","13795"
"2025","6","Allegany","Other","2085"
"2025","6","Allegany","Republican","10645"
"2025","6","Anne Arundel","Unaffiliated","6630"
"2025","6","Anne Arundel","Democratic","13910"
"2025","6","Anne Arundel","Other","2200"
"2025","6","Anne Arundel","Republican","10760"
"2025","6","Baltimore City","Unaffiliated","6745"
"2025","6","Baltimore City","Democratic","14025"
"2025","6","Baltimore City","Other","2315"
"2025","6","Baltimore City","Republican","10875"
"2025","6","Baltimore","Unaffiliated","6860"
"2025","6","Baltimore","Democratic","14140"
"2025","6","Baltimore","Other","2430"
"2025","6","Baltimore","Republican","10990"
"2025","6","Calvert","Unaffiliated","6975"
"2025","6","Calvert","Democratic","14255"
"2025","6","Calvert","Other","2545"
"2025","6","Calvert","Republican","11105"
"2025","6","Caroline","Unaffiliated","7090"
"2025","6","Caroline","Democratic","14370"
"2025","6","Caroline","Other","2660"
"2025","6","Caroline","Republican","11220"
"2025","6","Carroll","Unaffiliated","7205"
"2025","6","Carroll","Democratic","14485"
"2025","6","Carroll","Other","2775"
"2025","6","Carroll","Republican","11335"
"2025","6","Cecil","Unaffiliated","7320"
"2025","6","Cecil","Democratic","14600"
"2025","6","Cecil","Other","2890"
"2025","6","Cecil","Republican","11450"
"2025","6","Charles","Unaffiliated","7435"
"2025","6","Charles","Democratic","14715"
"2025","6","Charles","Other","3005"
"2025","6","Charles","Republican","11565"
"2025","6","Dorchester","Unaffiliated","7550"
"2025","6","Dorchester","Democratic","14830"
"2025","6","Dorchester","Other","3120"
"2025","6","Dorchester","Republican","11680"
"2025","6","Frederick","Unaffiliated","7665"
"2025","6","Frederick","Democratic","14945"
"2025","6","Frederick","Other","3235"
"2025","6","Frederick","Republican","11795"
"2025","6","Garrett","Unaffiliated","7780"
"2025","6","Garrett","Democratic","15060"
"2025","6","Garrett","Other","3350"
"2025","6","Garrett","Republican","11910"
"2025","6","Harford","Unaffiliated","7895"
"2025","6","Harford","Democratic","15175"
"2025","6","Harford","Other","3465"
"2025","6","Harford","Republican","12025"
"2025","6","Howard","Unaffiliated","8010"
"2025","6","Howard","Democratic","15290"
"2025","6","Howard","Other","3580"
"2025","6","Howard","Republican","12140"
"2025","6","Kent","Unaffiliated","8125"
"2025","6","Kent","Democratic","15405"
"2025","6","Kent","Other","3695"
"2025","6","Kent","Republican","12255"
"2025","6","Montgomery","Unaffiliated","8240"
"2025","6","Montgomery","Democratic","15520"
"2025","6","Montgomery","Other","3810"
"2025","6","Montgomery","Republican","12370"
"2025","6","Prince George's","Unaffiliated","8355"
"2025","6","Prince George's","Democratic","15635"
"2025","6","Prince George's","Other","3925"
"2025","6","Prince George's","Republican","12485"
"2025","6","Queen Anne's","Unaffiliated","8470"
"2025","6","Queen Anne's","Democratic","15750"
"2025","6","Queen Anne's","Other","4040"
"2025","6","Queen Anne's","Republican","12600"
"2025","6","St. Mary's","Unaffiliated","8585"
"2025","6","St. Mary's","Democratic","15865"
"2025","6","St. Mary's","Other","4155"
"2025","6","St. Mary's","Republican","12715"
"2025","6","Somerset","Unaffiliated","8700"
"2025","6","Somerset","Democratic","15980"
"2025","6","Somerset","Other","4270"
"2025","6","Somerset","Republican","12830"
"2025","6","Talbot","Unaffiliated","8815"
"2025","6","Talbot","Democratic","16095"
"2025","6","Talbot","Other","4385"
"2025","6","Talbot","Republican","12945"
"2025","6","Washington","Unaffiliated","8930"
"2025","6","Washington","Democratic","16210"
"2025","6","Washington","Other","4500"
"2025","6","Washington","Republican","13060"
"2025","6","Wicomico","Unaffiliated","9045"
"2025","6","Wicomico","Democratic","16325"
"2025","6","Wicomico","Other","4615"
"2025","6","Wicomico","Republican","13175"
"2025","6","Worcester","Unaffiliated","9160"
"2025","6","Worcester","Democratic","16440"
"2025","6","Worcester","Other","4730"
"2025","6","Worcester","Republican","13290"
